index,driver,class,path
9678,11,c6,AUC_Dataset/Camera_1/train/c6/m11/749.jpg
9679,11,c6,AUC_Dataset/Camera_1/train/c6/m11/761.jpg
9680,11,c6,AUC_Dataset/Camera_1/train/c6/m11/764.jpg
9681,11,c6,AUC_Dataset/Camera_1/train/c6/m11/762.jpg
9682,11,c6,AUC_Dataset/Camera_1/train/c6/m11/753.jpg
9683,11,c6,AUC_Dataset/Camera_1/train/c6/m11/751.jpg
9684,11,c6,AUC_Dataset/Camera_1/train/c6/m11/748.jpg
9685,11,c6,AUC_Dataset/Camera_1/train/c6/m11/745.jpg
9686,11,c6,AUC_Dataset/Camera_1/train/c6/m11/742.jpg
9687,11,c6,AUC_Dataset/Camera_1/train/c6/m11/757.jpg
9688,11,c6,AUC_Dataset/Camera_1/train/c6/m11/756.jpg
9689,11,c6,AUC_Dataset/Camera_1/train/c6/m11/744.jpg
9690,11,c6,AUC_Dataset/Camera_1/train/c6/m11/754.jpg
9691,11,c6,AUC_Dataset/Camera_1/train/c6/m11/739.jpg
9692,11,c6,AUC_Dataset/Camera_1/train/c6/m11/759.jpg
9693,11,c6,AUC_Dataset/Camera_1/train/c6/m11/755.jpg
9694,11,c6,AUC_Dataset/Camera_1/train/c6/m11/758.jpg
9695,11,c6,AUC_Dataset/Camera_1/train/c6/m11/743.jpg
9696,11,c6,AUC_Dataset/Camera_1/train/c6/m11/752.jpg
9697,11,c6,AUC_Dataset/Camera_1/train/c6/m11/740.jpg
9698,11,c6,AUC_Dataset/Camera_1/train/c6/m11/763.jpg
9699,11,c6,AUC_Dataset/Camera_1/train/c6/m11/741.jpg
9700,11,c6,AUC_Dataset/Camera_1/train/c6/m11/760.jpg
9701,11,c6,AUC_Dataset/Camera_1/train/c6/m11/746.jpg
9702,11,c6,AUC_Dataset/Camera_1/train/c6/m11/750.jpg
9703,11,c6,AUC_Dataset/Camera_1/train/c6/m11/747.jpg
9704,11,c4,AUC_Dataset/Camera_1/train/c4/m11/678.jpg
9705,11,c4,AUC_Dataset/Camera_1/train/c4/m11/685.jpg
9706,11,c4,AUC_Dataset/Camera_1/train/c4/m11/676.jpg
9707,11,c4,AUC_Dataset/Camera_1/train/c4/m11/675.jpg
9708,11,c4,AUC_Dataset/Camera_1/train/c4/m11/680.jpg
9709,11,c4,AUC_Dataset/Camera_1/train/c4/m11/677.jpg
9710,11,c4,AUC_Dataset/Camera_1/train/c4/m11/674.jpg
9711,11,c4,AUC_Dataset/Camera_1/train/c4/m11/679.jpg
9712,11,c4,AUC_Dataset/Camera_1/train/c4/m11/684.jpg
9713,11,c4,AUC_Dataset/Camera_1/train/c4/m11/682.jpg
9714,11,c4,AUC_Dataset/Camera_1/train/c4/m11/686.jpg
9715,11,c4,AUC_Dataset/Camera_1/train/c4/m11/681.jpg
9716,11,c4,AUC_Dataset/Camera_1/train/c4/m11/683.jpg
9717,11,c7,AUC_Dataset/Camera_1/train/c7/m11/554.jpg
9718,11,c7,AUC_Dataset/Camera_1/train/c7/m11/577.jpg
